frequency_rank,headword,definition,part_of_speech,semantic_group
198,amīcus -a -um,friendly; (as subst.) friend,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
199,pēs pedis m.,foot,Noun: 3rd Declension,The Body
200,imperium -ī n.,"command, power",Noun: 2nd Declension,War and Peace
201,labor -ōris m.,"toil, exertion",Noun: 3rd Declension,Business/Money
202,ingēns ingentis,"huge, enormous",Adjective: 3rd Declension,Measurement
203,tālis tāle,such,Adjective: 3rd Declension,Measurement
204,parum,too little,Adverb,Measurement
205,apud,"near, in the presence of (+acc.)",Preposition,Place
206,oculus -ī m.,eye,Noun: 2nd Declension,The Body
207,unda -ae f.,"wave, flowing water, water",Noun: 1st Declension,Earth and Water
208,itaque,"and so, therefore",Conjunction,Conjunctions/Adverbs
209,vultus -ūs m.,"look, expression, face",Noun: 4th Declension,The Body
210,cadō cadere cecidī cāsum,"fall, be killed",Verb: 3rd Conjugation -ō,Violence
211,nātus -ī m.,son,Noun: 2nd Declension,The Household
212,quis quid,who? what? which?,Pronoun,Pronouns/Interrogatives
213,trahō trahere trāxī trāctum,"drag, draw",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
214,sanguis -inis m.,blood,Noun: 3rd Declension,The Body
215,metus -ūs m.,"fear, dread",Noun: 4th Declension,Emotions
216,"tantum, tantummodo",only,Adverb,Measurement
217,cōnsilium -ī n.,"plan; council, group of advisors",Noun: 2nd Declension,The City
218,coniunx coniugis m./f.,"spouse, husband, wife",Noun: 3rd Declension,The Household
219,amō -āre,to love; amāns -ntis m./f.: lover,Verb: 1st Conjugation,Love
220,levis -e,"light, trivial",Adjective: 3rd Declension,Measurement
221,duo duae duo,two,Adjective: Numeral,Measurement
222,ferus -a -um,"wild, fierce; fera -ae f.: wild animal",Adjective: 1st and 2nd Declension,Animals/Plants
223,poena -ae f.,"penalty, punishment",Noun: 1st Declension,Justice
224,castrum -ī n.,"fortress, (regularly plural, castra camp)",Noun: 2nd Declension,War and Peace
225,frāter frātris m.,brother,Noun: 3rd Declension,The Household
226,haud,not,Adverb,Conjunctions/Adverbs
227,malus -a -um,"bad, evil",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
228,iaceō iacēre iacuī,lie,Verb: 2nd Conjugation,The House
229,līber lībera līberum,free; līberī (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,Justice
230,iter itineris n.,"journey, route",Noun: 3rd Declension,Travel
231,ferrum -ī n.,"iron, iron weapon or implement",Noun: 2nd Declension,Violence
232,spēs speī f.,hope,Noun: 5th Declension,Emotions
233,puella -ae f.,girl; girl-friend,Noun: 1st Declension,People
234,silva -ae f.,"forest, grove",Noun: 1st Declension,Animals/Plants
235,bene,well,Adverb,Personality Traits/Characteristics
236,fīnis -is m.,"end, boundary",Noun: 3rd Declension,Geography
237,gerō gerere gessī gestum,"bear, manage; bellum gerere, wage war",Verb: 3rd Conjugation -ō,War and Peace
238,ne (enclitic),interrogative particle attached to the emphatic word in a question,Adverb,Pronouns/Interrogatives
239,dux ducis m./f.,"leader, general",Noun: 3rd Declension,War and Peace
240,premō premere pressī pressum,"press, pursue, overwhelm",Verb: 3rd Conjugation -ō,War and Peace
241,dominus -ī m.; domina -ae f.,"household master, lord; mistress",Noun: 2nd Declension,The Household
242,mōns montis m.,mountain,Noun: 3rd Declension,Geography
243,uterque utraque utrumque,each of two,Conjunction,Measurement
244,saevus -a -um,"fierce, raging, wrathful",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
245,lītus -oris n.,shore,Noun: 3rd Declension,Geography
246,soleō -ēre -uī -itum,be accustomed,Verb: 2nd Conjugation,Personality Traits/Characteristics
247,mīlle (pl.) mīlia,thousand,Adjective: Numeral,Measurement
248,equus -ī m.,horse,Noun: 2nd Declension,Animals/Plants
249,dūrus -a -um,"hard, tough, harsh",Adjective: 1st and 2nd Declension,Other Senses
250,cōgō cōgere coēgī coāctum,drive together; compel,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
251,numquam,never,Adverb,Time
252,prīmum,"at first, firstly",Adverb,Time
253,morior morī mortuus sum,die,Verb: Deponent,Life and Being
254,carmen -inis n.,song,Noun: 3rd Declension,Writing/Poetry
255,tēlum -ī n.,"missile, weapon, spear",Noun: 2nd Declension,War and Peace
256,ratiō -ōnis f.,"method, plan, reason",Noun: 3rd Declension,Education/Knowledge
257,umbra -ae f.,"shade, shadow",Noun: 1st Declension,Vision
258,ars artis f.,skill,Noun: 3rd Declension,Education/Knowledge
259,tot,so many,Adverb,Measurement
260,dexter -tra -trum,right; dextera -ae f.: right hand,Adjective: 1st and 2nd Declension,Place
261,sīgnum -ī n.,"sign, standard, mark",Noun: 2nd Declension,War and Peace
262,laetus -a -um,"glad, joyful",Adjective: 1st and 2nd Declension,Emotions
263,quālis -e,of what kind? what?,Pronoun,Pronouns/Interrogatives
264,lēx lēgis f.,law,Noun: 3rd Declension,Justice
265,perīculum -ī n.,danger,Noun: 2nd Declension,Violence
266,nāscor nāscī nātus sum,be born,Verb: Deponent,Life and Being
267,exercitus -ūs m.,army,Noun: 4th Declension,War and Peace
268,pereō -īre -iī -itum,"perish, be lost",Verb: Irregular,Violence
269,ventus -ī m.,wind,Noun: 2nd Declension,Air and Fire
270,audeō audēre ausus sum,"dare, be eager",Verb: 2nd Conjugation,Personality Traits/Characteristics
271,contrā,"against, opposite (adv. and prep. +acc.)",Preposition,Place
272,aqua -ae f.,water,Noun: 1st Declension,Earth and Water
273,rapiō rapere rapuī raptum,"seize, tear away",Verb: 3rd Conjugation -iō,Violence
274,simul,at the same time,Adverb,Time
275,trīstis -e,"sad, solemn, grim",Adjective: 3rd Declension,Emotions
276,mūnus mūneris n.,"gift, offering; duty, obligation; (pl.) gladiatorial show",Noun: 3rd Declension,Social Life
277,iuvenis -is m.,youth,Noun: 3rd Declension,People
278,fāma -ae f.,"rumor, fame",Noun: 1st Declension,Speech/Oratory
279,adsum adesse affuī,be present,Verb: Irregular,Place
280,quisquam quicquam/quidquam,"any (single) person, anyone at all",Pronoun,Pronouns/Interrogatives
280,vērō,"in fact, certainly, without doubt",Adverb,Conjunctions/Adverbs
281,pār paris,equal,Adjective: 3rd Declension,Measurement
282,vester vestra vestrum,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
283,flūmen -inis n.,"stream, river",Noun: 3rd Declension,Earth and Water
284,quīcumque quaecumque quodcumque,"who-, whatever",Pronoun,Pronouns/Interrogatives
285,certus -a -um,"sure, fixed",Adjective: 1st and 2nd Declension,Measurement
286,fortis -e,brave,Adjective: 3rd Declension,Personality Traits/Characteristics
287,placeō placēre placuī placitum,please,Verb: 2nd Conjugation,Social Life
288,vertō vertere vertī versum,turn,Verb: 3rd Conjugation -ō,Motion
289,servō -āre,"save, watch over",Verb: 1st Conjugation,The Household
290,honor -ōris m.,"honor, glory; office, post",Noun: 3rd Declension,The City
291,dīgnus -a -um,worthy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
292,cūnctus -a -um,entire all together,Adjective: 1st and 2nd Declension,Measurement
293,tollō tollere sustulī sublātum,"raise up, destroy",Verb: Irregular,Violence
294,negō -āre,"deny, refuse",Verb: 1st Conjugation,Speech/Oratory
295,vetus veteris,old,Adjective: 3rd Declension,Time
296,eques equitis m.,"horseman, knight",Noun: 3rd Declension,War and Peace
297,trādō -dere -didī -ditum,"hand over, yield",Verb: 3rd Conjugation -ō,Business/Money
298,flamma -ae f.,"flame, fire",Noun: 1st Declension,Air and Fire
299,lūx lūcis f.,light of day,Noun: 3rd Declension,Air and Fire
300,unde,from where,Adverb,Place
301,redeō -īre -iī -itum,"go back, return",Verb: Irregular,Motion
302,sentiō sentīre sēnsī sēnsum,"perceive, feel, hear, see",Verb: 4th Conjugation,Other Senses
303,aurum -ī n.,gold,Noun: 2nd Declension,Business/Money
304,cēdō cēdere cessī cessum,"go, move; yield",Verb: 3rd Conjugation -ō,War and Peace
305,quō,"for which reason; to or in what place; to what end, for what purpose?",Adverb,Pronouns/Interrogatives
306,saxum -ī n.,"rock, cliff, crag",Noun: 2nd Declension,Earth and Water
307,ve,or (postpositive enclitic),Conjunction,Conjunctions/Adverbs
308,aetās -tātis f.,"age, time of life",Noun: 3rd Declension,Lengths of Time
309,fēlīx -īcis,lucky,Adjective: 3rd Declension,Personality Traits/Characteristics
310,loquor loquī locūtus sum,"speak, talk",Verb: Deponent,Speech/Oratory
311,quantus -a -um,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price",Pronoun,Pronouns/Interrogatives
312,coepī coepisse coeptus,begin,Verb: Irregular,Time
313,igitur,therefore,Conjunction,Conjunctions/Adverbs
